date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
26/03/18,Curaçao,Bolivia,1,0,Friendly,Willemstad,Curaçao,FALSE
26/03/18,Finland,Malta,5,0,Friendly,Belek,Turkey,TRUE
26/03/18,Portugal,Netherlands,0,3,Friendly,Geneva,Switzerland,TRUE
26/03/18,Wales,Uruguay,0,1,Friendly,Nanning,China PR,TRUE
27/03/18,Afghanistan,Cambodia,2,1,AFC Asian Cup qualification,Dushanbe,Tajikistan,TRUE
27/03/18,Algeria,Iran,1,2,Friendly,Graz,Austria,TRUE
27/03/18,Armenia,Lithuania,0,1,Friendly,Yerevan,Armenia,FALSE
27/03/18,Australia,Colombia,0,0,Friendly,London,England,TRUE
27/03/18,Azerbaijan,North Macedonia,1,1,Friendly,Antalya,Turkey,TRUE
27/03/18,Bahrain,Turkmenistan,4,0,AFC Asian Cup qualification,Riffa,Bahrain,FALSE
27/03/18,Belgium,Saudi Arabia,4,0,Friendly,Brussels,Belgium,FALSE
27/03/18,Bosnia and Herzegovina,Senegal,0,0,Friendly,Le Havre,France,TRUE
27/03/18,Myanmar,Macau,1,0,AFC Asian Cup qualification,Yangon,Myanmar,FALSE
27/03/18,Central African Republic,Kenya,3,2,Friendly,Marrakech,Morocco,TRUE
27/03/18,Denmark,Chile,0,0,Friendly,Aalborg,Denmark,FALSE
27/03/18,England,Italy,1,1,Friendly,London,England,FALSE
27/03/18,Georgia,Estonia,2,0,Friendly,Tbilisi,Georgia,FALSE
27/03/18,Germany,Brazil,0,1,Friendly,Berlin,Germany,FALSE
27/03/18,Greece,Egypt,1,0,Friendly,Zürich,Switzerland,TRUE
27/03/18,Hungary,Scotland,0,1,Friendly,Budapest,Hungary,FALSE
27/03/18,Iraq,Syria,1,1,Friendly,Basra,Iraq,FALSE
27/03/18,Jordan,Vietnam,1,1,AFC Asian Cup qualification,Amman,Jordan,FALSE
27/03/18,North Korea,Hong Kong,2,0,AFC Asian Cup qualification,Pyongyang,North Korea,FALSE
27/03/18,Kosovo,Burkina Faso,2,0,Friendly,Franconville,France,TRUE
27/03/18,Kyrgyzstan,India,2,1,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,FALSE
27/03/18,Laos,Bangladesh,2,2,Friendly,Vientiane,Laos,FALSE
27/03/18,Lebanon,Malaysia,2,1,AFC Asian Cup qualification,Beirut,Lebanon,FALSE
27/03/18,Luxembourg,Austria,0,4,Friendly,Luxembourg,Luxembourg,FALSE
27/03/18,Maldives,Bhutan,7,0,AFC Asian Cup qualification,Malé,Maldives,FALSE
27/03/18,Mexico,Croatia,0,1,Friendly,Arlington,United States,TRUE
27/03/18,Moldova,Ivory Coast,1,2,Friendly,Beauvais,France,TRUE
27/03/18,Mongolia,Mauritius,0,2,Friendly,Ulan Bator,Mongolia,FALSE
27/03/18,Montenegro,Turkey,2,2,Friendly,Podgorica,Montenegro,FALSE
27/03/18,Morocco,Uzbekistan,2,0,Friendly,Casablanca,Morocco,FALSE
27/03/18,Namibia,Lesotho,2,1,Friendly,Windhoek,Namibia,FALSE
27/03/18,Oman,Palestine,1,0,AFC Asian Cup qualification,Muscat,Oman,FALSE
27/03/18,Peru,Iceland,3,1,Friendly,Harrison,United States,TRUE
27/03/18,Philippines,Tajikistan,2,1,AFC Asian Cup qualification,Manila,Philippines,FALSE
27/03/18,Poland,South Korea,3,2,Friendly,Chorzów,Poland,FALSE
27/03/18,Romania,Sweden,1,0,Friendly,Craiova,Romania,FALSE
27/03/18,Russia,France,1,3,Friendly,Saint Petersburg,Russia,FALSE
27/03/18,Serbia,Nigeria,2,0,Friendly,London,England,TRUE
27/03/18,Seychelles,Eswatini,0,0,Friendly,Victoria,Seychelles,FALSE
27/03/18,Slovenia,Belarus,0,2,Friendly,Ljubljana,Slovenia,FALSE
27/03/18,Spain,Argentina,6,1,Friendly,Madrid,Spain,FALSE
27/03/18,Switzerland,Panama,6,0,Friendly,Lucerne,Switzerland,FALSE
27/03/18,Taiwan,Singapore,1,0,AFC Asian Cup qualification,Taipei,Taiwan,FALSE
27/03/18,Tanzania,DR Congo,2,0,Friendly,Dar es Salaam,Tanzania,FALSE
27/03/18,Tunisia,Costa Rica,1,0,Friendly,Nice,France,TRUE
27/03/18,Uganda,Malawi,0,0,Friendly,Kampala,Uganda,FALSE
27/03/18,Ukraine,Japan,2,1,Friendly,Liège,Belgium,TRUE
27/03/18,United States,Paraguay,1,0,Friendly,Cary,United States,FALSE
27/03/18,Yemen,Nepal,2,1,AFC Asian Cup qualification,Doha,Qatar,TRUE
01/04/18,Malaysia,Bhutan,7,0,Friendly,Kuala Lumpur,Malaysia,FALSE
08/04/18,Barawa,Chagos Islands,4,1,Friendly,London,England,FALSE
15/04/18,Barawa,Yorkshire,2,7,Friendly,London,England,FALSE
18/04/18,Trinidad and Tobago,Panama,0,1,Friendly,Couva,Trinidad and Tobago,FALSE
18/04/18,Zimbabwe,Botswana,0,1,Friendly,Harare,Zimbabwe,FALSE
26/04/18,Saint Kitts and Nevis,Jamaica,1,3,Friendly,Basseterre,Saint Kitts and Nevis,FALSE
29/04/18,Ellan Vannin,Panjab,2,1,Friendly,Sandbach,England,TRUE
29/04/18,Saint Barthélemy,Saint Martin,3,2,Friendly,Saint-Jean,Saint Barthélemy,FALSE
30/04/18,Antigua and Barbuda,Jamaica,0,2,Friendly,St. John's,Antigua and Barbuda,FALSE
06/05/18,Barawa,Surrey,1,3,Friendly,London,England,FALSE
08/05/18,Iraq,Palestine,0,0,Friendly,Basra,Iraq,FALSE
09/05/18,Algeria,Saudi Arabia,0,2,Friendly,Cádiz,Spain,TRUE
11/05/18,Kuwait,Palestine,2,0,Friendly,Kuwait City,Kuwait,FALSE
12/05/18,Jersey,Guernsey,1,0,Muratti Vase,Jersey,Jersey,FALSE
15/05/18,Saudi Arabia,Greece,2,0,Friendly,Seville,Spain,TRUE
19/05/18,Iran,Uzbekistan,1,0,Friendly,Tehran,Iran,FALSE
20/05/18,Jordan,Cyprus,3,0,Friendly,Amman,Jordan,FALSE
25/05/18,Kuwait,Egypt,1,1,Friendly,Kuwait City,Kuwait,FALSE
25/05/18,Kenya,Eswatini,0,1,Friendly,Machakos,Kenya,FALSE
26/05/18,China PR,Myanmar,1,0,Friendly,Nanjing,China PR,FALSE
26/05/18,Saint Barthélemy,Sint Maarten,5,3,Friendly,Saint-Jean,Saint Barthélemy,FALSE
27/05/18,Cameroon,Burkina Faso,0,1,Friendly,Beauvais,France,TRUE
27/05/18,Niger,Central African Republic,3,3,Friendly,Niamey,Niger,FALSE
27/05/18,Madagascar,Mozambique,2,1,COSAFA Cup,Polokwane,South Africa,TRUE
27/05/18,Comoros,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,TRUE
28/05/18,United States,Bolivia,3,0,Friendly,Chester,United States,FALSE
28/05/18,Nigeria,DR Congo,1,1,Friendly,Port Harcourt,Nigeria,FALSE
28/05/18,Kenya,Equatorial Guinea,1,0,Friendly,Machakos,Kenya,FALSE
28/05/18,Portugal,Tunisia,2,2,Friendly,Braga,Portugal,FALSE
28/05/18,Italy,Saudi Arabia,2,1,Friendly,St. Gallen,Switzerland,TRUE
28/05/18,France,Republic of Ireland,2,0,Friendly,Saint-Denis,France,FALSE
28/05/18,Mexico,Wales,0,0,Friendly,Pasadena,United States,TRUE
28/05/18,Turkey,Iran,2,1,Friendly,Istanbul,Turkey,FALSE
28/05/18,South Korea,Honduras,2,0,Friendly,Daegu,South Korea,FALSE
28/05/18,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
28/05/18,Malawi,Mauritius,0,1,COSAFA Cup,Polokwane,South Africa,TRUE
28/05/18,Angola,Botswana,1,2,COSAFA Cup,Polokwane,South Africa,TRUE
29/05/18,Argentina,Haiti,4,0,Friendly,Buenos Aires,Argentina,FALSE
29/05/18,Albania,Kosovo,0,3,Friendly,Zürich,Switzerland,TRUE
29/05/18,Armenia,Malta,1,1,Friendly,Wattens,Austria,TRUE
29/05/18,Azerbaijan,Kyrgyzstan,3,0,Friendly,Baku,Azerbaijan,FALSE
29/05/18,Peru,Scotland,2,0,Friendly,Lima,Peru,FALSE
29/05/18,Panama,Northern Ireland,0,0,Friendly,Panama City,Panama,FALSE
29/05/18,Madagascar,Seychelles,1,1,COSAFA Cup,Polokwane,South Africa,TRUE
29/05/18,Comoros,Mozambique,0,3,COSAFA Cup,Polokwane,South Africa,TRUE
30/05/18,Japan,Ghana,0,2,Friendly,Yokohama,Japan,FALSE
30/05/18,Central African Republic,Uganda,1,0,Friendly,Niamey,Niger,TRUE
30/05/18,Austria,Russia,1,0,Friendly,Innsbruck,Austria,FALSE
30/05/18,Malawi,Botswana,1,1,COSAFA Cup,Polokwane,South Africa,TRUE
30/05/18,Angola,Mauritius,1,0,COSAFA Cup,Polokwane,South Africa,TRUE
30/05/18,Estonia,Lithuania,2,0,Baltic Cup,Rakvere,Estonia,FALSE
31/05/18,Ukraine,Morocco,0,0,Friendly,Geneva,Switzerland,TRUE
31/05/18,Romania,Chile,3,2,Friendly,Graz,Austria,TRUE
31/05/18,Luxembourg,Senegal,0,0,Friendly,Luxembourg,Luxembourg,FALSE
31/05/18,Mozambique,Seychelles,2,1,COSAFA Cup,Polokwane,South Africa,TRUE
31/05/18,Comoros,Madagascar,0,1,COSAFA Cup,Polokwane,South Africa,TRUE
31/05/18,Slovakia,Netherlands,1,1,Friendly,Trnava,Slovakia,FALSE
31/05/18,Ellan Vannin,Cascadia,4,1,CONIFA World Football Cup,Sutton,England,TRUE
31/05/18,Barawa,Tamil Eelam,4,0,CONIFA World Football Cup,Bromley,England,FALSE
31/05/18,Abkhazia,Tibet,3,0,CONIFA World Football Cup,Enfield,England,TRUE
31/05/18,Northern Cyprus,Kárpátalja,1,1,CONIFA World Football Cup,Enfield,England,TRUE
31/05/18,Székely Land,Tuvalu,4,0,CONIFA World Football Cup,Haringey,England,TRUE
